File,_id,code,name,currentStatusTitle,processCode,statusValues,data
knob-43,43,apvalep,Approve Value Component Content - in order to progress to next step,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-44,44,crvalnt,Create Value Component Document,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-45,45,sereqts,Send request to desired Working Group Participants,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-46,46,coparon,Confirm Participation,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-47,47,upstaes,Update Stakeholder List with confirmed names,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-48,48,enworts,Ensure Working Group members are assigned to relevant Value Components,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-49,49,drairss,Approve Draft AIR,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-50,50,inpubedair,Initiate Draft AIR Public Comment Period if Required,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-51,51,movaledair,"Modify Value Components, Issues, etc. as Required for Draft AIR",Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-52,52,crdraedair,Create Draft Conditions as Required based on Draft AIR,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-53,53,fiandrsair,Finalize and Publish Draft AIR to identified stakeholders,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-54,54,crairss,Approve AIR,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-55,55,inpubed,Initiate AIR Public Comment Period if Required,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-56,56,movaled,"Modify Value Components, Issues, etc. as Required for AIR",Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-57,57,crdraed,Create Draft Conditions as Required based on AIR,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-58,58,fiandrs,Finalize and Publish AIR to identified stakeholders,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-59,59,crappss,Approve Submission of Application,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-60,60,tocSS,Create ToC,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-61,61,scevaodpre,Schedule Evaluation Period,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-62,62,noworodpre,Notify Working Group of upcoming Evaluation Period,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-63,63,scworedpre,Schedule Working Group Metings as required,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-64,64,foaccon,Fomally Accept Application,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-65,65,noswgrs,"Notify / Send Application, AIR, and Table of Concordance to Working Group Members",Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-66,66,seinvnt,Send Invoice to Proponent,Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-67,67,coworlsinit,"Confirm Working Group Application, AIR, and Table of Concordance",Complete,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-68,68,foiniod30,Formally Initiate 30 Day Evaluation Period,In Progress,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-69,69,doappetoc,Approve ToC,In Progress,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-70,70,scevaodwrap,Schedule Application Evaluation Period,In Progress,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-71,71,noworod,Notify Working Group of upcoming Review Period,In Progress,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-72,72,scwored,Schedule Working Group Application Evaluation Meetings as required,In Progress,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-73,73,nosrswg,Notify / Send Application to Working Group Members,In Progress,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-74,74,coworls,Confirm Working Group received Application Package of Materials,Not Started,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-75,75,foiniod,Formally Initiate 180 Day Review Period,Not Started,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-76,76,alproed,Alert Proponent/Stakeholders 180 Day Review commenced,Not Started,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-77,77,doappnrev,Approve Application,Not Started,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-78,78,inpubss,initiate Public Comment Period Process,Not Started,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-79,79,reandns,Review and Complete Conditions,Not Started,notifications,"rg:dataset('status.csv','regular')",rg:{}
knob-80,80,reandon,Revise and Finalize Certified Project Description,Not Started,notifications,"rg:dataset('status.csv','regular')",rg:{}
-,#N/A,#N/A,0,0,0,"rg:dataset('status.csv','')",rg:{}
-,#N/A,#N/A,0,0,0,"rg:dataset('status.csv','')",rg:{}
-,#N/A,#N/A,0,0,0,"rg:dataset('status.csv','')",rg:{}
-,#N/A,#N/A,0,0,0,"rg:dataset('status.csv','')",rg:{}
-,#N/A,#N/A,0,0,0,"rg:dataset('status.csv','')",rg:{}
-,#N/A,#N/A,0,0,0,"rg:dataset('status.csv','')",rg:{}
